,RandomForest,Permutation
abs_lag_68,0.004515559770324033,0.0028357244597937313
lag_69,0.0011684367238592429,0.0013353071807668537
sign_lag_69,0.00015966861490379673,0.00016856475633628687
abs_lag_69,0.003501683921170612,0.0026251117193554106
lag_70,0.009563856117680602,0.007354713753504771
sign_lag_70,5.768735397530867e-05,0.00014497906682550132
abs_lag_70,0.013482547388041667,0.015818167436183573
lag_71,0.002573788022492135,0.0020862411262932536
sign_lag_71,2.032809357261368e-05,4.995868895119049e-06
abs_lag_71,0.002991337127975629,0.00270498633477233
lag_72,0.0027909416784663906,0.0008919539117899888
sign_lag_72,1.1144049359349917e-05,-2.1721483363434934e-06
abs_lag_72,0.03150030915101112,0.03881384212650838
lag_73,0.002338970756824339,0.0010264894715643403
sign_lag_73,0.00011112221692774525,6.02068210248663e-05
abs_lag_73,0.003053555791108857,0.00204337943221633
lag_74,0.006866930283460297,0.0065968739800136515
sign_lag_74,0.00017223546633677868,5.834122794162733e-05
abs_lag_74,0.003521344549697033,0.0040009607008438695
lag_75,0.0037820629030983323,0.007334602433162774
sign_lag_75,9.532257032176814e-05,7.025140606033986e-05
abs_lag_75,0.0025983768711399153,0.0021726711302622937
lag_76,0.003571452857792658,0.0035714988910861
sign_lag_76,0.0004136040726476564,-2.2487723399899905e-05
abs_lag_76,0.007211755664976885,0.025647121159100728
lag_77,0.002435726754441361,0.00145831476662317
sign_lag_77,4.045140548885325e-05,1.568512408455236e-05
abs_lag_77,0.0018258002718093067,0.000995871591562314
lag_78,0.014791384195813585,0.013383263758914622
sign_lag_78,0.00038064138523070837,2.0721205989360227e-05
abs_lag_78,0.013252839324192259,0.009712209226187263
lag_79,0.004949720127879483,0.003504286039085547
sign_lag_79,0.000138289465558158,0.00012197844826110638
abs_lag_79,0.0013301015732458579,0.00022015792621666864
lag_80,0.002171870482668378,0.0017221653097356459
sign_lag_80,0.0001088905373365616,-2.9329955189627555e-05
abs_lag_80,0.0012038914074514817,0.0010754701743515781
lag_81,0.001897941062578205,0.002079747310403346
sign_lag_81,2.0487860143132388e-05,1.2960134930517508e-05
abs_lag_81,0.002033260344203934,0.0013002900101606208
